ewretx,sprtrn,ewretd,vwretx,vwretd,SHRENDDT,ALTPRCDT,pe_op_basic,pe_op_dil,CAPEI,RETX,RET,divyield,VOL,pe_exi,pcf,pe_inc,PEG_ltgforward,ps,ptb
0.016406,0.007068000000000001,0.021872,0.00898,0.012531,20130110.0,20121231.0,11.921,12.054,26.373,-0.090738,-0.090738,0.0199,4472556.0,12.054,9.826,12.054,0.583,3.193,3.784
-0.045982,-0.030917,-0.044331,-0.033025,-0.031045,20060629.0,20060531.0,15.923,16.005,20.236,-0.055101,-0.055101,0.0519,2192389.0,15.605,3.774,12.144,4.603,1.246,1.386
-0.004155,0.024534,-0.002457,0.018986000000000003,0.02115,20141230.0,20141128.0,15.136,15.466,30.075,0.067979,0.067979,0.0097,497453.0,15.466,22.682,15.466,1.218,2.357,6.115
-0.051739,-0.019762,-0.050612,-0.02925,-0.027993,20091203.0,20091030.0,3.506,3.562,57.374,0.016995,0.016995,0.0254,4763374.0,3.562,14.966,3.562,0.195,4.399,6.3210000000000015
0.016406,0.007068000000000001,0.021872,0.00898,0.012531,20130130.0,20121231.0,5.3420000000000005,5.443,19.451,0.058678999999999995,0.062987,0.0163,526816.0,5.478,15.859000000000002,5.597,0.685,1.557,3.705
-0.007204,-0.017396000000000002,-0.005111999999999999,-0.012255,-0.010439,20150429.0,20150331.0,10.282,10.353,8.752,-0.015934999999999998,-0.015934999999999998,0.0408,1703046.0,10.353,6.271,10.353,-5.984,1.026,1.115
0.002313,0.010491,0.003961999999999999,0.008167,0.010326,20150629.0,20150529.0,17.807000000000006,18.054,20.34,0.030066000000000002,0.035692,0.0218,618020.0,17.13,14.267,16.549,1.901,1.847,3.641
0.032232,0.028514,0.033602999999999994,0.032688,0.034774,20100330.0,20100226.0,6.586,7.065,9.463,0.051303999999999995,0.053658000000000004,0.009000000000000001,2320695.0,7.065,10.262999999999998,7.065,0.406,1.555,1.233
0.029505,0.016467,0.031168,0.02134,0.023705,20110227.0,20061130.0,22.075,22.242,30.435,0.02264,0.026123,0.0136,12958870.0,23.302,20.418,23.302,1.997,6.364,7.995
0.029505,0.016467,0.031168,0.02134,0.023705,20061228.0,20061130.0,18.062,18.388,23.537,0.033232,0.039067000000000005,0.0226,493188.0,18.062,16.265,18.224,1.611,2.67,5.4620000000000015
-0.013287,0.012864,-0.011712,0.009678,0.011631,20110227.0,20070831.0,28.297,28.933000000000003,24.823,0.090178,0.094941,0.0175,15361992.0,26.546,13.72,26.546,1.463,4.181,3.766
-0.00702,0.008533,-0.003561,0.001454,0.003702,20120130.0,20111230.0,7.03,7.09,9.739,0.07362,0.07362,0.0301,8181803.0,7.09,1.847,7.09,0.867,1.089,0.7240000000000001
-0.04616,-0.061163,-0.045066,-0.063252,-0.062147,20080228.0,20080131.0,10.177,10.24,14.791,-0.108004,-0.108004,0.0279,2811883.0,10.165,7.436,10.165,1.172,0.923,2.027
0.037024,0.007821999999999999,0.042176,0.019081,0.022148,20090129.0,20081231.0,8.99,9.036,13.796,0.07790599999999999,0.07790599999999999,0.0723,9899820.0,11.353,7.449,11.353,11.13,2.446,1.634
0.051972,0.017771000000000002,0.055001,0.026392,0.028419,20100128.0,20091231.0,-115.13,-106.27,11.591,-0.0054,-0.0,0.0217,1802546.0,-17.712,10.822,-19.188,-1.389,0.731,1.75
-0.02248,-0.005059,-0.020645,-0.008893,-0.006226,20110227.0,20111130.0,9.201,9.302,12.409,-0.039429,-0.031919,0.0313,10497537.0,9.302,7.883999999999999,9.302,0.836,3.026,3.5610000000000004
0.052497,0.054893,0.054123,0.053611,0.055948000000000005,20150322.0,20150227.0,13.683,14.149,13.878,0.0063560000000000005,0.013619999999999998,0.0289,4564882.0,14.394,7.7120000000000015,14.394,1.599,2.819,2.64
-0.002657,-0.009859,-0.001295,-0.014677,-0.013328,20080904.0,20080731.0,14.449000000000002,14.953,20.145,-0.065067,-0.065067,0.0171,16420967.0,14.953,10.709,14.953,1.518,4.052,6.252999999999999
-0.022838,-0.021474,-0.021813,-0.023611,-0.02247,20110922.0,20110729.0,2.6260000000000003,2.6660000000000004,50.68600000000001,0.16328499999999999,0.16328499999999999,0.0254,3929412.0,2.659,13.673,2.659,0.124,4.14,5.353
-0.051739,-0.019762,-0.050612,-0.02925,-0.027993,20091129.0,20091030.0,36.439,38.069,12.345999999999998,-0.076919,-0.076919,0.008199999999999999,2400631.0,38.069,45.933,38.069,3.0460000000000003,1.624,1.558
0.03269,0.024236,0.034925,0.024597,0.026539,20121018.0,20120928.0,2.215,2.241,42.931,0.002803,0.002803,0.0159,3438905.0,2.241,12.015,2.241,0.097,4.21,5.015
-0.012292,-0.036974,-0.011388,-0.038109,-0.037096,20100225.0,20100129.0,16.174,16.343,22.282,-0.00016,-0.00016,0.0352,1583787.0,16.132,11.53,16.132,1.731,3.016,4.703
0.03049,0.047547000000000006,0.031907,0.049781,0.051106,20080529.0,20080430.0,7.252000000000002,7.445,11.27,0.053292,0.053292,0.023,589170.0,7.347,5.766,7.347,0.816,1.17,1.146
-0.0010949999999999998,0.006931999999999999,0.0010279999999999998,0.002751,0.004469,20140429.0,20140331.0,12.31,12.604,25.177,-0.056705,-0.056705,0.013,892854.0,12.604,19.276,11.837,1.004,1.988,4.607
-0.051739,-0.019762,-0.050612,-0.02925,-0.027993,20091129.0,20091030.0,14.715,14.875,14.482,-0.0032770000000000004,-0.0032770000000000004,0.0128,2379442.0,16.195,11.129,16.195,3.027,1.4240000000000002,1.3769999999999998
-0.019029,-0.031298,-0.017278,-0.027891000000000003,-0.025714,20130929.0,20130830.0,12.525,12.797,15.038,-0.004463,-0.004463,0.0291,1160621.0,13.019,6.829,13.019,1.2,0.8859999999999999,3.034
0.022964,0.019763,0.02482,0.023665,0.026265,20120927.0,20120831.0,16.327,16.657,20.846,0.006716,0.006716,0.0121,1753418.0,16.381,10.4,16.381,1.307,2.117,2.057
0.06725199999999999,0.058796,0.069289,0.06192,0.063606,20100429.0,20100331.0,7.187,7.71,10.584,0.091334,0.091334,0.008199999999999999,2406076.0,7.71,10.262999999999998,7.71,0.414,1.74,1.378
0.013988999999999998,0.008520999999999999,0.015127000000000003,0.007573999999999998,0.008723,20150528.0,20150430.0,23.584,23.895,33.235,0.036514,0.036514,0.0106,1186845.0,24.214,17.727999999999994,24.214,1.6840000000000002,3.703,3.804
-0.077329,-0.056791,-0.075715,-0.059612,-0.057472,20110929.0,20110831.0,14.089,14.334,16.160999999999998,-0.10369400000000001,-0.0979,0.0259,1727449.0,14.587,11.3,14.39,1.141,1.212,2.969
-0.07811799999999999,-0.044043,-0.07661699999999999,-0.051275,-0.049327,20071230.0,20071130.0,12.884,13.035,16.932000000000002,-0.030764,-0.026958999999999997,0.015700000000000002,5479184.0,12.903,9.835,12.903,1.693,1.452,3.457
-0.004155,0.024534,-0.002457,0.018986000000000003,0.02115,20141230.0,20141128.0,16.78,17.04,20.464,0.028785,0.034299,0.0214,772379.0,16.141,13.18,16.188,1.457,1.682,2.947
0.018109,0.028495,0.019203,0.027573,0.028688,20110530.0,20110429.0,20.093,20.495,23.955,0.085828,0.085828,0.0146,1455292.0,23.831,11.724,23.831,3.404,0.8959999999999999,2.513
0.052497,0.054893,0.054123,0.053611,0.055948000000000005,20150330.0,20150227.0,10.23,10.316,11.739,0.126885,0.126885,0.0261,3190082.0,11.584,6.244,11.584,1.625,2.238,1.078
-0.022838,-0.021474,-0.021813,-0.023611,-0.02247,20110830.0,20110729.0,17.146,17.314,19.736,-0.046801,-0.046801,0.0238,1064368.0,15.591,22.865,15.591,1.338,0.816,13.35
-0.007204,-0.017396000000000002,-0.005111999999999999,-0.012255,-0.010439,20150429.0,20150331.0,11.184,11.184,9.822,-0.039982,-0.039982,0.0325,3302603.0,11.184,7.903,11.184,-9.725,0.977,1.669
0.05372,0.049462,0.054898,0.051244000000000005,0.052680999999999985,20130829.0,20130731.0,17.542,17.912,22.315,0.088982,0.088982,0.0282,2003466.0,25.408,17.652,25.408,3.976,3.829,3.727
-0.039462,-0.01753,-0.035887,-0.024498,-0.022257,20160128.0,20151231.0,14.712,14.918,16.14,0.00020800000000000001,0.00020800000000000001,0.0266,1272870.0,15.571,14.071,14.849,1.483,1.501,2.792
0.032232,0.028514,0.033602999999999994,0.032688,0.034774,20100330.0,20100226.0,18.012999999999995,18.091,15.776,0.077812,0.077812,0.0048,8763614.0,18.737,1.368,18.571,2.342,1.442,1.061
-0.014781,-0.019789,-0.013477,-0.01555,-0.014101,20121129.0,20121031.0,13.805,14.052,16.398,0.027717000000000002,0.027717000000000002,0.0345,2671611.0,22.554,12.519,22.554,3.655,3.01,3.114
-0.051739,-0.019762,-0.050612,-0.02925,-0.027993,20091129.0,20091030.0,4.017,4.069,16.275,-0.038949,-0.038949,0.0161,755459.0,5.113,11.668,5.113,0.422,1.314,2.679
0.004804999999999999,0.00998,0.0065450000000000005,0.011471,0.012946,20070429.0,20070330.0,20.983,22.161,30.889,-0.0051979999999999995,-0.0051979999999999995,0.0196,2039673.0,22.477,16.564,22.477,1.939,2.708,2.572
-0.0010949999999999998,0.006931999999999999,0.0010279999999999998,0.002751,0.004469,20140429.0,20140331.0,19.7,19.919,26.973000000000006,-0.026606,-0.026606,0.0233,978387.0,21.055,11.309,21.055,2.0380000000000003,1.068,6.218
-0.070404,-0.062651,-0.06843400000000001,-0.067942,-0.06553099999999999,20120628.0,20120531.0,16.384,16.682000000000002,19.407,0.060311000000000003,0.060311000000000003,0.0131,2353881.0,16.442,10.934,16.442,1.2819999999999998,1.968,1.98
0.037053,0.019058,0.039501,0.025957,0.027941000000000004,20140730.0,20140630.0,17.584,17.962,18.78,0.06299500000000001,0.06299500000000001,0.0221,689466.0,18.481,6.3610000000000015,18.481,1.443,1.218,3.341
0.023562,0.021274,0.025011,0.022975,0.025048,20060928.0,20060831.0,13.061,13.595999999999998,27.267,-0.063779,-0.063779,0.0181,1237982.0,13.652,10.703,13.652,1.162,1.126,5.04
0.013988999999999998,0.008520999999999999,0.015127000000000003,0.007573999999999998,0.008723,20150528.0,20150430.0,20.382,20.694000000000006,19.652,0.00024700000000000004,0.00024700000000000004,0.0325,2840201.0,25.35,16.692,25.35,5.205,3.852,4.928
0.008497,0.012187,0.009791,0.011494,0.012965,20060629.0,20060428.0,13.5,13.685,22.156,0.026722000000000003,0.026722000000000003,0.02,15211934.0,14.271,7.841,14.271,0.995,2.9930000000000003,3.151
