pe_op_dil,CAPEI,pe_op_basic,divyield,pe_exi,pcf,ptb,PEG_ltgforward,bm,evm,ps,pe_inc,PEG_1yrforward,PEG_trailing,dpr,GProf,roe,short_debt,invt_act,roce
9.207,24.595,9.071,0.0287,9.642,16.118,5.259,1.134,0.234,13.01,4.484,9.642,0.738,0.785,0.53,0.458,0.292,0.5920000000000001,0.133,0.258
20.321,17.572,19.849,0.0176,23.874,10.795,2.063,3.411,0.603,10.019,0.757,23.874,0.122,0.98,0.828,0.152,0.11,0.159,0.344,0.071
18.449,17.963,18.351,0.0441,37.5,9.93,1.915,9.191,0.51,7.707999999999998,2.264,37.5,4.137,0.98,1.68,0.355,0.051,0.156,0.203,0.135
2.458,40.213,2.414,0.0254,2.458,8.726,3.945,0.14300000000000002,0.313,14.507,2.699,2.458,-0.732,0.05,0.0,0.35600000000000004,0.281,0.194,0.015,0.384
10.272,15.815,10.15,0.0394,11.842,9.682,2.173,1.022,0.444,8.344,0.805,11.842,-1.198,0.677,0.411,0.198,0.194,0.15,0.349,0.154
11.978,14.36,11.794,0.0211,11.66,7.824,7.375,1.038,0.135,8.217,1.595,11.66,0.912,0.6509999999999999,0.214,0.476,0.71,0.188,0.056,0.387
11.073,18.079,10.982,0.0191,10.517,7.659,2.89,1.3769999999999998,0.378,5.669,1.162,10.517,0.552,0.289,0.19,0.384,0.303,0.238,0.142,0.477
10.292,10.362,10.199,0.0009,10.451,6.968,1.66,1.227,0.675,6.2,0.45,10.451,-1.881,1.5419999999999998,0.009000000000000001,0.34,0.172,0.194,0.0,0.189
17.709,18.414,16.891,0.031,17.709,10.541,2.265,1.898,0.453,10.092,2.351,14.8,-5.803,2.234,0.505,0.314,0.147,0.392,0.315,0.158
11.014,17.671,10.936,0.0209,10.469,7.4529999999999985,2.763,1.925,0.365,6.0779999999999985,1.109,10.469,0.8490000000000001,0.28300000000000003,0.202,0.371,0.28800000000000003,0.264,0.14300000000000002,0.448
