RET,RETX,sprtrn,ewretx,vwretx,ewretd,pe_inc,pe_op_dil,ALTPRC,debt_ebitda,cash_ratio,ps,SHRENDDT,VOL,int_debt
0.088982,0.088982,0.049462,0.05372,0.051244000000000005,0.054898,25.408,17.912,93.5,0.775,0.84,3.829,20130829.0,2003466.0,0.045
0.00020800000000000001,0.00020800000000000001,-0.01753,-0.039462,-0.024498,-0.035887,14.849,14.918,96.07,2.136,0.228,1.501,20160128.0,1272870.0,0.05
0.077812,0.077812,0.028514,0.032232,0.032688,0.033602999999999994,18.571,18.091,41.97,16.53,0.4785,1.442,20100330.0,8763614.0,0.052000000000000005
0.027717000000000002,0.027717000000000002,-0.019789,-0.014781,-0.01555,-0.013477,22.554,14.052,70.82,0.954,1.273,3.01,20121129.0,2671611.0,0.048
-0.038949,-0.038949,-0.019762,-0.051739,-0.02925,-0.050612,5.113,4.069,62.18,0.267,1.028,1.314,20091129.0,755459.0,0.092
-0.0051979999999999995,-0.0051979999999999995,0.00998,0.004804999999999999,0.011471,0.0065450000000000005,22.477,22.161,63.16,2.096,0.34,2.708,20070429.0,2039673.0,0.04
-0.026606,-0.026606,0.006931999999999999,-0.0010949999999999998,0.002751,0.0010279999999999998,21.055,19.919,125.49,1.154,0.29600000000000004,1.068,20140429.0,978387.0,0.064
0.060311000000000003,0.060311000000000003,-0.062651,-0.070404,-0.067942,-0.06843400000000001,16.442,16.682000000000002,45.71,1.433,0.278,1.968,20120628.0,2353881.0,0.042
0.06299500000000001,0.06299500000000001,0.019058,0.037053,0.025957,0.039501,18.481,17.962,108.67,3.565,0.219,1.218,20140730.0,689466.0,0.044
-0.063779,-0.063779,0.021274,0.023562,0.022975,0.025011,13.652,13.595999999999998,66.35,3.599,0.045,1.126,20060928.0,1237982.0,0.075
0.00024700000000000004,0.00024700000000000004,0.008520999999999999,0.013988999999999998,0.007573999999999998,0.015127000000000003,25.35,20.694000000000006,40.56,3.35,0.67,3.852,20150528.0,2840201.0,0.025
0.026722000000000003,0.026722000000000003,0.012187,0.008497,0.011494,0.009791,14.271,13.685,19.98,0.145,1.383,2.9930000000000003,20060629.0,15211934.0,0.014
-0.015787,-0.019359,0.011065,0.035232,0.017585,0.036978,2.094,2.094,85.1,0.324,0.8759999999999999,1.153,20060427.0,398137.0,0.08
-0.07144600000000001,-0.07144600000000001,-0.056791,-0.077329,-0.059612,-0.075715,8.026,8.026,37.56,10.58,0.4785,1.264,20110929.0,11904058.0,0.052000000000000005
-0.10685499999999999,-0.10685499999999999,-0.047449,-0.049083,-0.044938,-0.047566,14.767,17.879,39.87,10.769,0.4785,1.702,20100929.0,1809643.0,0.021
0.047422000000000006,0.047422000000000006,0.043583,0.08443200000000001,0.052929,0.085342,15.213,15.347,192.60001,1.172,0.306,2.099,20120228.0,1100322.0,0.043
0.089878,0.08656,0.043583,0.08443200000000001,0.052929,0.085342,17.083,15.229,19.645,1.464,2.48,2.416,20120213.0,8014457.0,0.04
-0.055889,-0.06351,-0.017396000000000002,-0.007204,-0.012255,-0.005111999999999999,25.344,20.689,40.55,3.35,0.67,3.851,20150429.0,3707384.0,0.025
0.137461,0.137461,0.085405,0.104391,0.083432,0.107474,9.824,9.824,18.37,0.039,0.871,2.637,20090419.0,16364071.0,212.0
-0.038527,-0.038527,-0.081976,-0.078435,-0.081224,-0.076929,7.033,9.544,33.69,1.3,1.132,3.139,20100629.0,4473562.0,0.034
0.009064000000000001,0.009064000000000001,-0.005059,-0.02248,-0.008893,-0.020645,16.387999999999998,16.771,64.57,1.789,0.115,2.153,20111229.0,1769343.0,0.038
0.063092,0.055237,-0.00229,0.008971999999999999,0.002908,0.010736,11.436,10.579,21.1575,0.115,2.086,2.762,20110227.0,11304826.0,0.0
-0.204204,-0.204204,0.007821999999999999,0.037024,0.019081,0.042176,6.5779999999999985,7.5710000000000015,18.55,15.848,0.4785,0.6509999999999999,20090129.0,3151505.0,0.011
-0.054215,-0.054215,-0.019789,-0.014781,-0.01555,-0.013477,8.209,8.209,110.2407,0.193,0.615,0.938,20121129.0,1294587.0,0.026
0.026381,0.026381,0.011065,0.035232,0.017585,0.036978,8.863999999999997,8.863999999999997,57.97,0.474,0.446,0.698,20060427.0,2087398.0,0.048
-0.005249,-0.005249,0.012598,-0.004484,0.009012,-0.003281,12.809,14.078,73.91,1.508,0.253,0.759,20120830.0,869711.0,0.068
0.05558300000000001,0.05558300000000001,0.082983,0.051512,0.07256599999999999,0.052873,24.766,21.281,42.35,3.434,0.7190000000000001,4.029,20151129.0,3665655.0,0.022
0.098097,0.098097,0.00998,0.004804999999999999,0.011471,0.0065450000000000005,4.792,4.8439999999999985,92.91,0.0,1.6909999999999998,3.885,20070424.0,5696711.0,0.052000000000000005
0.014769,0.011009999999999999,0.023563,0.02201,0.024071,0.025242,14.234000000000002,14.234000000000002,75.3,1.599,0.417,0.631,20140130.0,878458.0,0.047
-0.092051,-0.092051,-0.015513999999999997,-0.046891,-0.026823000000000003,-0.044988,16.533,15.473,99.03,3.532,0.239,1.126,20141030.0,1063323.0,0.042
