,vwretd,ptb,vwretx,DATE,CAPEI,ewretd,ewretx,PEG_1yrforward,accrual,pretret_earnat,ps,roe,pcf,pe_op_dil,BID,NEXT_DAY_PREDICTION
788,0.040186,3.544,0.038183,1406851200000000000,24.12,0.033697000000000005,0.032156,2.641,0.031,0.292,3.978,0.203,14.973,17.26,103.72,1.0
789,-0.025129,3.642,-0.026823000000000003,1409529600000000000,24.785,-0.044988,-0.046891,2.714,0.031,0.292,4.088,0.203,15.386,17.735,106.61,1.0
790,0.021184,3.655,0.019935,1412121600000000000,24.874,0.014199000000000003,0.012956,2.495,0.031,0.292,4.102,0.203,15.441,17.933,107.73,1.0
791,0.02115,3.757,0.018986000000000003,1414800000000000000,24.522,-0.002457,-0.004155,2.248,0.006999999999999999,0.295,4.0710000000000015,0.22,16.607,17.688,108.29,0.0
792,-0.003616,3.629,-0.005754,1417392000000000000,23.689,-0.00019,-0.003562,2.172,0.006999999999999999,0.295,3.932,0.22,16.043,17.087,104.57,0.0
793,-0.027152,3.475,-0.028223,1420070400000000000,22.685,-0.019073,-0.020095,2.08,0.006999999999999999,0.295,3.766,0.22,15.363,16.363,100.19,1.0
794,0.055948000000000005,3.91,0.053611,1422748800000000000,22.263,0.054123,0.052497,4.668,0.016,0.28800000000000003,3.835,0.21600000000000005,15.431,17.375,102.51,0.0
795,-0.010439,3.837,-0.012255,1425168000000000000,21.849,-0.005111999999999999,-0.007204,4.789,0.016,0.28800000000000003,3.763,0.21600000000000005,15.144,17.051,100.59,0.0
796,0.008723,3.783,0.007573999999999998,1427846400000000000,21.545,0.015127000000000003,0.013988999999999998,6.112,0.016,0.28800000000000003,3.711,0.21600000000000005,14.933,16.814,99.2,1.0
797,0.010326,3.886,0.008167,1430438400000000000,21.882,0.003961999999999999,0.002313,6.291,0.011,0.28,3.774,0.201,15.941,17.147000000000002,100.14,0.0
798,-0.019259,3.782,-0.021201,1433116800000000000,21.296,-0.013473,-0.015969,6.122999999999998,0.011,0.28,3.673,0.201,15.514,16.688,97.41,1.0
799,0.012095,3.883,0.010881,1435708800000000000,21.866,-0.027144,-0.028387,5.632999999999999,0.011,0.28,3.771,0.201,15.93,17.159000000000002,100.24,0.0
800,-0.059996,3.478,-0.062061,1438387200000000000,20.3,-0.047295,-0.049309,4.939,0.006999999999999999,0.266,3.62,0.209,15.227,16.634,93.96,0.0
801,-0.033738,3.454,-0.035673,1441065600000000000,20.164,-0.049922,-0.052219000000000015,4.9060000000000015,0.006999999999999999,0.266,3.596,0.209,15.125,16.522000000000002,93.34,1.0
802,0.073963,3.736,0.07256599999999999,1443657600000000000,21.806,0.052873,0.051512,5.057,0.006999999999999999,0.266,3.889,0.209,16.355999999999998,17.881,101.04,1.0
803,0.002442,3.729,0.000176,1446336000000000000,21.757,0.007333,0.005435,5.5139999999999985,0.029,0.25,3.972,0.196,15.091,18.407,101.47,1.0
804,-0.001637,4.745,-0.003552000000000001,1138752000000000000,23.09,0.004836,0.003476,2.431,0.05,0.371,2.625,0.277,13.048,17.154,73.52,1.0
805,0.019053,4.878,0.017585,1141171200000000000,23.737,0.036978,0.035232,2.5,0.05,0.371,2.698,0.277,13.414,17.643,75.71,1.0
806,0.012965,5.501,0.011494,1143849600000000000,26.768,0.009791,0.008497,2.5,0.05,0.371,3.043,0.277,15.126,19.914,85.5,0.0
807,0.023705,5.4620000000000015,0.02134,1162339200000000000,23.537,0.031168,0.029505,2.748,0.011,0.385,2.67,0.311,16.265,18.388,81.46,0.0
808,0.010854,5.225,0.009151,1164931200000000000,22.517,0.0148,0.012585,2.629,0.011,0.385,2.5540000000000003,0.311,15.56,17.590999999999998,77.87,0.0
809,0.019401,4.968,0.018466,1167609600000000000,21.41,0.022283,0.021357,2.506,0.011,0.385,2.4290000000000003,0.311,14.795,16.772000000000002,74.32,0.0
810,-0.013994,5.4129999999999985,-0.015985,1170288000000000000,18.809,0.002111,0.000857,3.46,-0.001,0.375,2.372,0.354,14.162,16.499000000000002,74.06,1.0
811,0.012946,5.537000000000001,0.011471,1172707200000000000,19.239,0.0065450000000000005,0.004804999999999999,3.569,-0.001,0.375,2.426,0.354,14.485,17.022000000000002,76.4,1.0
812,0.039821,5.936,0.038455,1175385600000000000,20.624,0.027044,0.025768,4.32,-0.001,0.375,2.6010000000000004,0.354,15.528,18.434,82.76,1.0
813,0.038932,6.301,0.036643,1177977600000000000,22.511,0.023123,0.021362,2.02,-0.024,0.374,2.7230000000000003,0.397,16.666,19.122,87.93,0.0
814,-0.014754,6.2170000000000005,-0.016117,1180656000000000000,22.212,-0.007906,-0.009856,1.936,-0.024,0.374,2.687,0.397,16.445,18.867,86.81,1.0
815,-0.031758,6.331,-0.032762,1183248000000000000,22.618,-0.043537,-0.044642,1.877,-0.024,0.374,2.736,0.397,16.746,19.33,88.83,1.0
816,0.011631,6.341,0.009678,1185926400000000000,22.1,-0.011712,-0.013287,1.486,-0.011,0.37,2.7460000000000004,0.409,15.866,19.075,90.95,1.0
817,0.040849,6.521,0.039332,1188604800000000000,22.729,0.025364,0.023661,1.528,-0.011,0.37,2.824,0.409,16.317999999999998,19.618,93.65,0.0
818,0.025834,5.996,0.024693,1191196800000000000,20.899,0.017406,0.016144,1.381,-0.011,0.37,2.597,0.409,15.005,18.105,86.3,0.0
819,-0.049327,5.4129999999999985,-0.051275,1193875200000000000,19.305,-0.07661699999999999,-0.07811799999999999,1.3,-0.017,0.36,2.47,0.428,14.695,17.027,83.29,1.0
820,-0.0044280000000000005,5.482,-0.006515000000000001,1196467200000000000,19.551,-0.010989,-0.014282,1.317,-0.017,0.36,2.502,0.428,14.882,17.243,84.34,0.0
821,-0.062147,5.149,-0.063252,1199145600000000000,18.363,-0.045066,-0.04616,1.244,-0.017,0.36,2.35,0.428,13.978,16.288,79.5,0.0
822,-0.021664,4.584,-0.023605,1201824000000000000,16.737000000000002,-0.021401,-0.022916,1.453,0.008,0.353,2.268,0.37,12.978,15.743,78.37,1.0
823,-0.010419,4.61,-0.012158,1204329600000000000,16.832,-0.025309,-0.027567,1.466,0.008,0.353,2.281,0.37,13.050999999999998,15.894,79.0,0.0
824,0.051106,4.475,0.049781,1207008000000000000,16.339000000000002,0.031907,0.03049,1.425,0.008,0.353,2.214,0.37,12.669,15.442,76.92,1.0
825,0.023841,4.393,0.021528,1209600000000000000,16.721,0.031787,0.029774,1.5719999999999998,0.04,0.343,2.186,0.343,11.642,15.238,77.45,0.0
826,-0.078433,3.941,-0.080247,1212278400000000000,15.003,-0.086625,-0.088745,1.41,0.04,0.343,1.961,0.343,10.446,13.672,69.46,1.0
827,-0.013328,3.957,-0.014677,1214870400000000000,15.061,-0.001295,-0.002657,1.426,0.04,0.343,1.969,0.343,10.486,13.829,70.29,1.0
828,0.010563,3.993,0.008574,1217548800000000000,14.961,0.013022999999999998,0.011122,1.374,0.043,0.337,1.956,0.327,10.36,13.638,71.64,0.0
829,-0.098007,3.809,-0.099796,1220227200000000000,14.274,-0.120091,-0.122188,1.311,0.043,0.337,1.866,0.327,9.884,13.011,68.25,0.0
830,-0.184621,3.555,-0.186108,1222819200000000000,13.32,-0.205222,-0.206835,1.285,0.043,0.337,1.742,0.327,9.223,12.248,64.09,1.0
831,-0.084615,3.801,-0.087354,1225497600000000000,13.565,-0.13032,-0.132591,1.3430000000000002,0.045,0.337,1.786,0.314,9.343,12.441,66.81,0.0
832,0.022148,3.268,0.019081,1228089600000000000,11.662,0.042176,0.037024,3.015,0.045,0.337,1.536,0.314,8.032,10.695,57.67,0.0
833,-0.077323,3.0580000000000003,-0.078717,1230768000000000000,10.911,-0.024042,-0.025384,3.382,0.045,0.337,1.4369999999999998,0.314,7.515,9.998,53.85,0.0
834,-0.100214,3.1860000000000004,-0.103401,1233446400000000000,8.943999999999997,-0.107667,-0.109769,-0.485,0.043,0.334,1.248,0.315,6.957999999999998,8.793,45.48,1.0
835,0.08669,3.484,0.083432,1235865600000000000,9.781,0.107474,0.104391,-0.465,0.043,0.334,1.365,0.315,7.609,9.617,49.61,1.0
836,0.109359,4.04,0.107522,1238544000000000000,11.343,0.192762,0.190929,-0.53,0.043,0.334,1.5830000000000002,0.315,8.823,11.140999999999998,57.56,0.0
