,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
90,0.289,0.021,0.28800000000000003,7.4,10.935,17.544,1.069,2.7430000000000003,60.94,0.063,1.101,10.857,0.338,1.069,64.67,2.7430000000000003,1.911,1.0
91,0.289,0.0209,0.28800000000000003,7.4529999999999985,11.014,17.671,0.8490000000000001,2.763,61.58,0.063,1.109,10.936,0.338,0.8490000000000001,62.37,2.763,1.925,1.0
92,0.289,0.0189,0.28800000000000003,8.086,12.162,19.172,0.754,2.997,67.65,0.063,1.203,12.075,0.338,0.754,67.74,2.997,1.398,0.0
93,0.309,0.0189,0.303,7.724,11.167,18.233,0.551,2.914,67.65,0.06,1.172,11.075,0.34700000000000003,0.551,70.72,2.914,1.401,0.0
94,0.309,0.0191,0.303,7.659,11.073,18.079,0.552,2.89,67.03,0.06,1.162,10.982,0.34700000000000003,0.552,68.48,2.89,1.3769999999999998,1.0
95,0.309,0.0179,0.303,7.997000000000001,11.785,18.877,0.705,3.017,71.41,0.06,1.213,11.689,0.34700000000000003,0.705,71.62,3.017,1.465,1.0
96,0.319,0.0167,0.3,8.816,11.799,19.313,0.607,3.256,76.8,0.05,1.305,11.691,0.35100000000000003,0.607,76.81,3.256,1.421,0.0
97,0.319,0.0167,0.3,8.796,11.771,19.268,0.6,3.248,76.63,0.05,1.3019999999999998,11.664,0.35100000000000003,0.6,78.73,3.248,1.214,0.0
98,0.319,0.0173,0.3,8.505,11.382,18.632,0.5920000000000001,3.141,74.33,0.05,1.259,11.279000000000002,0.35100000000000003,0.5920000000000001,74.9,3.141,1.1740000000000002,0.0
99,0.308,0.0179,0.29600000000000004,8.28,10.944,15.35,-1.5759999999999998,3.03,71.55,0.046,1.218,10.844,0.324,-1.5759999999999998,75.67,3.03,1.565,1.0
100,0.308,0.017,0.29600000000000004,8.687999999999999,11.519,16.107,-1.821,3.179,75.42,0.046,1.278,11.415,0.324,-1.821,76.24,3.179,2.154,1.0
101,0.308,0.0161,0.29600000000000004,9.073,12.119000000000002,16.819000000000006,-2.454,3.32,79.38,0.046,1.334,12.009,0.324,-2.454,80.55,3.32,2.267,1.0
102,0.3,0.0168,0.297,9.573,12.231,18.142,-4.956,3.467,83.22,0.039,1.406,12.089,0.334,-4.956,84.0,3.467,2.388,1.0
103,0.3,0.0167,0.297,9.655,12.335,18.297,3.477,3.497,83.76,0.039,1.418,12.192,0.334,3.477,86.36,3.497,2.408,1.0
104,0.3,0.016399999999999998,0.297,9.647,12.519,18.282,1.727,3.494,84.9,0.039,1.416,12.374,0.334,1.727,93.44,3.494,2.444,1.0
105,0.295,0.0163,0.295,9.711,12.407,17.41,2.011,3.448,85.51,0.039,1.429,12.265,0.322,2.011,87.9,3.448,2.385,1.0
106,0.295,0.0151,0.295,10.485,13.395,18.797,2.227,3.723,92.51,0.039,1.543,13.242,0.322,2.227,92.97,3.723,1.947,0.0
107,0.295,0.0152,0.295,10.42,13.313,18.681,1.837,3.7,91.32,0.039,1.533,13.16,0.322,1.837,95.05,3.7,1.859,0.0
