,RET,RETX,vwretx,ewretx,sprtrn,vwretd,ewretd,pe_op_dil,cash_ratio,pe_inc,ALTPRC,debt_ebitda,ALTPRCDT,fcf_ocf,PRC
1252,0.07912899999999999,0.07912899999999999,0.027573,0.018109,0.028495,0.028688,0.019203,18.95,0.297,17.928,79.78,1.995,20110429.0,0.619,79.78
2909,-0.053029999999999994,-0.068343,0.01893,0.056698,0.014759,0.020043,0.057842999999999985,12.042,0.086,22.403,28.9,1.744,20100430.0,0.46,28.9
1010,0.053381,0.053381,0.064817,0.065469,0.0653,0.06715,0.068851,18.02,0.147,15.884,64.33,1.608,20101231.0,0.7829999999999999,64.33
2268,0.102862,0.102862,0.018105,0.007432999999999999,0.024566,0.019424,0.009006,17.614,0.113,19.266,49.32,1.5830000000000002,20060929.0,0.191,49.32
413,-0.014154,-0.014154,0.037009,0.039488,0.036856,0.038531,0.040681,15.257,0.7064464135021098,16.688,16.02,12.973,20101029.0,0.7979999999999999,16.02
3290,0.080163,0.080163,0.02211,0.015303,0.031332,0.023994,0.017608000000000002,26.128,0.7064464135021098,27.576,124.37,36.188,20120330.0,0.945,124.37
254,0.008537000000000001,0.008537000000000001,-0.016117,-0.009856,-0.017816,-0.014754,-0.007906,12.335,0.688,12.21,83.88,0.124,20070629.0,0.6970000000000001,83.88
2312,-0.05177999999999999,-0.057420000000000006,-0.081224,-0.078435,-0.081976,-0.079136,-0.076929,13.814,0.142,13.665,50.56,1.412,20100528.0,0.536,50.56
2730,0.040934,0.040934,0.007573999999999998,0.013988999999999998,0.008520999999999999,0.008723,0.015127000000000003,13.851,0.877,14.091,32.55,0.5660000000000001,20150430.0,0.505,32.55
1260,0.067841,0.067841,0.001454,-0.00702,0.008533,0.003702,-0.003561,15.475,0.249,14.525,73.35,1.739,20111230.0,0.302,73.35
684,0.063799,0.063799,0.051244000000000005,0.05372,0.049462,0.052680999999999985,0.054898,9.515,0.612,9.515,125.89,0.265,20130731.0,0.08,125.89
300,0.045763,0.045763,0.027573,0.018109,0.028495,0.028688,0.019203,14.054,0.135,14.145,87.98,0.274,20110429.0,0.445,87.98
128,0.00899,0.0023539999999999998,0.02134,0.029505,0.016467,0.023705,0.031168,10.136,0.434,10.5,46.83,0.698,20061130.0,0.7879999999999999,46.83
