,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
1267,18.426,9.559,0.0238,8.106,12.809,14.078,13.945,0.09,1.178,11.053,0.959,4.917,-2.678,12.832,0.936
235,20.265,16.352999999999998,0.0312,17.910999999999994,24.766,21.281,21.175,0.2,6.517,5.385,0.238,0.858,-16.840999999999998,24.766,0.6729999999999999
727,110.758,21.424,0.025765303867403312,18.409,4.792,4.8439999999999985,4.707,0.161,0.212,6.848,0.267,2.109,0.115,4.792,0.403
3521,16.508,9.968,0.0149,7.617000000000001,14.234000000000002,14.234000000000002,13.996,0.474,1.911,2.236,0.175,2.494,3.579,14.234000000000002,0.594
1174,16.730999999999998,6.3889999999999985,0.0283,9.008,16.533,15.473,15.165,0.306,1.288,2.9810000000000003,0.201,1.18,1.914,16.533,0.767
3444,26.002,10.427,0.0006,9.304,16.143,15.673,15.087,0.299,1.004,3.08,0.221,2.8310000000000004,1.024,16.143,0.5870000000000001
1009,16.415,12.238,0.0316,10.724,15.079,17.105999999999998,16.285,0.439,1.948,2.321,0.16699999999999998,0.91,-5.408,17.105999999999998,0.509
3413,33.199,17.674,0.0074,15.359000000000002,29.952,28.466,28.373,0.239,1.69,4.035,0.2,0.463,2.043,29.952,0.289
1225,11.267,9.519,0.0378,8.58,8.264,7.968,7.879,0.251,0.6829999999999999,2.938,0.456,4.062,-0.662,8.312000000000001,0.8490000000000001
3267,9.006,10.898608050847457,0.0096,21.781,6.561,6.561,6.1160000000000005,0.7120000000000001,0.397,1.173,0.24946822033898305,0.193,-0.365,6.561,0.916
3443,27.457,11.011,0.0006,9.304,17.047,16.55,15.931,0.299,1.075,3.253,0.221,2.8310000000000004,1.104,17.047,0.5870000000000001
2808,6.596,9.362,0.0292,10.16,14.687,15.669,15.453,1.256,1.379,0.919,0.066,0.804,-0.315,14.687,0.762
1284,33.352,9.353,0.0142,9.785,24.2,24.2,23.988000000000003,0.101,2.142,11.459,0.609,5.254,0.763,24.2,0.917
137,26.358,19.172,0.0253,14.682,11.951,11.845999999999998,11.742,0.168,1.277,6.136,0.303,1.361,1.133,11.951,0.468
2267,21.055,9.885,0.015,8.056000000000001,16.381,16.086,16.086,0.284,1.218,3.497,0.233,4.018,1.516,16.144000000000002,0.608
923,20.148,14.646,0.0214,10.743,14.486,18.004,17.748,0.316,1.328,3.403,0.201,1.257,1.217,18.2,0.693
2263,20.819000000000006,10.642,0.0149,11.102,16.802,16.929000000000002,16.929000000000002,0.277,1.271,3.529,0.219,3.695,1.524,16.802,0.605
2806,5.676,7.027,0.0337,7.745,9.444,9.904,9.785,1.021,1.085,0.816,0.091,0.794,-0.257,9.444,0.758
446,17.19,8.42,0.0312,18.143,18.187,17.788,17.659000000000006,0.517,1.555,2.006,0.124,0.337,1.85,17.042,0.815
175,24.595,16.118,0.0287,13.01,9.642,9.207,9.071,0.234,1.134,5.259,0.307,1.061,0.738,9.642,0.474
1367,17.572,10.795,0.0176,10.019,23.874,20.321,19.849,0.603,3.411,2.063,0.096,1.308,0.122,23.874,0.674
1853,17.963,9.93,0.0441,7.707999999999998,37.5,18.449,18.351,0.51,9.191,1.915,0.052000000000000005,0.6459999999999999,4.137,37.5,0.461
751,40.213,8.726,0.025765303867403312,14.507,2.458,2.458,2.414,0.313,0.14300000000000002,3.945,0.292,1.703,-0.732,2.458,0.435
